user_id,year,month,day,hour,car_msg
4510001121,2017,07,01,00,理想-理想L8
4510001121,2017,07,01,00,大众-探影
4510001121,2017,07,01,00,比亚迪-秦PLUS
4510001121,2017,07,01,00,蔚来-蔚来ET5
4510001121,2017,07,01,00,比亚迪-汉
4510001121,2017,07,01,00,蔚来-蔚来ET5
4510001121,2017,07,01,00,大众-探影
4510001121,2017,07,01,00,大众-探影
4510001121,2017,07,01,00,本田-思域
4510001121,2017,07,01,01,比亚迪-汉
4510001121,2017,07,01,01,奇瑞-艾瑞泽8
4510001121,2017,07,01,01,比亚迪-驱逐舰05
4510001121,2017,07,01,01,大众-揽巡
4510001121,2017,07,01,01,哈弗-M6
4510001121,2017,07,01,01,奇瑞-瑞虎8
4510001121,2017,07,01,02,比亚迪-宋PLUS新能源
4510001121,2017,07,01,02,长安-UNI-V
4510001121,2017,07,01,02,吉利-星越L
4510001121,2017,07,01,02,吉利-博越
4510001121,2017,07,01,02,本田-CR-V
4510001121,2017,07,01,02,奇瑞-瑞虎8
4510001121,2017,07,01,02,蔚来-蔚来ET5
4510001121,2017,07,01,02,比亚迪-宋PLUS新能源
4510001121,2017,07,01,02,理想-理想L8
4510001121,2017,07,01,03,理想-理想L8
4510001121,2017,07,01,03,比亚迪-秦PLUS
4510001121,2017,07,01,03,蔚来-蔚来ET7
4510001121,2017,07,01,04,比亚迪-秦PLUS
4510001121,2017,07,01,04,理想-理想L6
4510001121,2017,07,01,05,比亚迪-汉
4510001121,2017,07,01,06,大众-揽巡
4510001121,2017,07,01,06,大众-揽巡
4510001121,2017,07,01,06,比亚迪-宋PLUS新能源
4510001121,2017,07,01,06,比亚迪-驱逐舰05
4510001121,2017,07,01,06,理想-理想L8
4510001121,2017,07,01,06,比亚迪-汉
4510001121,2017,07,01,06,大众-揽巡
4510001121,2017,07,01,06,比亚迪-秦PLUS
4510001121,2017,07,01,06,大众-揽巡
4510001121,2017,07,01,06,理想-理想L8
4510001121,2017,07,01,06,比亚迪-宋PLUS新能源
4510001121,2017,07,01,06,吉利-博越
4510001121,2017,07,01,06,比亚迪-秦PLUS
4510001121,2017,07,01,06,比亚迪-驱逐舰05
4510001121,2017,07,01,06,理想-理想L6
4510001121,2017,07,01,06,蔚来-蔚来ET5
4510001121,2017,07,01,06,长安-CS35 PLUS
4510001121,2017,07,01,06,大众-揽巡
4510001121,2017,07,01,06,吉利-星瑞
4510001121,2017,07,01,06,理想-理想L8
4510001121,2017,07,01,06,比亚迪-驱逐舰05
4510001121,2017,07,01,06,比亚迪-宋PLUS新能源
4510001121,2017,07,01,07,理想-理想L8
4510001121,2017,07,01,07,大众-揽巡
4510001121,2017,07,01,07,丰田-凯美瑞
4510001121,2017,07,01,07,现代-伊兰特
4510001121,2017,07,01,07,理想-理想L6
4510001121,2017,07,01,07,大众-探影
4510001121,2017,07,01,07,比亚迪-汉
4510001121,2017,07,01,07,比亚迪-秦PLUS
4510001121,2017,07,01,07,蔚来-蔚来ET5
4510001121,2017,07,01,07,比亚迪-驱逐舰05
4510001121,2017,07,01,07,蔚来-蔚来ET7
4510001121,2017,07,01,07,长安-UNI-V
4510001121,2017,07,01,07,理想-理想L8
4510001121,2017,07,01,07,宝马-5系
4510001121,2017,07,01,07,本田-雅阁
4510001121,2017,07,01,07,吉利-星瑞
4510001121,2017,07,01,08,蔚来-蔚来ET5
4510001121,2017,07,01,08,比亚迪-秦PLUS
4510001121,2017,07,01,08,哈弗-大狗
4510001121,2017,07,01,08,比亚迪-驱逐舰05
4510001121,2017,07,01,08,长安-UNI-V
4510001121,2017,07,01,08,本田-飞度
4510001121,2017,07,01,08,吉利-博越
4510001121,2017,07,01,08,本田-雅阁
4510001121,2017,07,01,08,长安-CS75 PLUS
4510001121,2017,07,01,08,吉利-帝豪
4510001121,2017,07,01,08,哈弗-大狗
4510001121,2017,07,01,08,吉利-星瑞
4510001121,2017,07,01,08,宝马-7系
4510001121,2017,07,01,08,本田-CR-V
4510001121,2017,07,01,08,长安-CS35 PLUS
4510001121,2017,07,01,08,吉利-星越L
4510001121,2017,07,01,08,吉利-星越L
4510001121,2017,07,01,08,宝马-5系
4510001121,2017,07,01,08,宝马-7系
4510001121,2017,07,01,08,本田-CR-V
4510001121,2017,07,01,08,吉利-星越L
